"","Country","Year","Sector","Site","Station","Reef.zone","benthic_name2","benthic_code","mean_cover","sd","Organization","Period","Source","Latitude","Longitude"
"120","Tanzania",1999,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",1,NA,"","Pre","GCRMN",-6.36358,39.28455
"121","Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",5,NA,"","Pre","GCRMN",-6.36358,39.28455
"122","Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",41,NA,"","Pre","GCRMN",-6.36358,39.28455
"123","Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",21,NA,"","Pre","GCRMN",-6.36358,39.28455
"124","Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",11,NA,"","Pre","GCRMN",-6.36358,39.28455
"125","Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Coral","HC",20,NA,"","Pre","GCRMN",-6.36358,39.28455
"126","Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"127","Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"128","Tanzania",1997,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"129","Tanzania",1997,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",16,NA,"","Pre","GCRMN",-6.36358,39.28455
"130","Tanzania",1997,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",46,NA,"","Pre","GCRMN",-6.36358,39.28455
"131","Tanzania",1997,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",5,NA,"","Pre","GCRMN",-6.36358,39.28455
"132","Tanzania",1997,NA,"Zanzibar","Kwale",NA,"Coral","HC",29,NA,"","Pre","GCRMN",-6.36358,39.28455
"133","Tanzania",1997,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",1,NA,"","Pre","GCRMN",-6.36358,39.28455
"134","Tanzania",1997,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"135","Tanzania",1996,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"136","Tanzania",1996,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",34,NA,"","Pre","GCRMN",-6.36358,39.28455
"137","Tanzania",1996,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",7,NA,"","Pre","GCRMN",-6.36358,39.28455
"138","Tanzania",1996,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",25,NA,"","Pre","GCRMN",-6.36358,39.28455
"139","Tanzania",1996,NA,"Zanzibar","Kwale",NA,"Coral","HC",29,NA,"","Pre","GCRMN",-6.36358,39.28455
"140","Tanzania",1996,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",2,NA,"","Pre","GCRMN",-6.36358,39.28455
"141","Tanzania",1996,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"142","Tanzania",1995,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"143","Tanzania",1995,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",33,NA,"","Pre","GCRMN",-6.36358,39.28455
"144","Tanzania",1995,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",13,NA,"","Pre","GCRMN",-6.36358,39.28455
"145","Tanzania",1995,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",25,NA,"","Pre","GCRMN",-6.36358,39.28455
"146","Tanzania",1995,NA,"Zanzibar","Kwale",NA,"Coral","HC",26,NA,"","Pre","GCRMN",-6.36358,39.28455
"147","Tanzania",1995,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"148","Tanzania",1995,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"149","Tanzania",1994,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"150","Tanzania",1994,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",33,NA,"","Pre","GCRMN",-6.36358,39.28455
"151","Tanzania",1994,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",23,NA,"","Pre","GCRMN",-6.36358,39.28455
"152","Tanzania",1994,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",17,NA,"","Pre","GCRMN",-6.36358,39.28455
"153","Tanzania",1994,NA,"Zanzibar","Kwale",NA,"Coral","HC",24,NA,"","Pre","GCRMN",-6.36358,39.28455
"154","Tanzania",1994,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"155","Tanzania",1994,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"156","Tanzania",2015,NA,"Mafia","Kitutia",NA,"Algae-coralline","ACOR",20,NA,"","Pre","GCRMN",-8.15694,39.6508
"157","Tanzania",2015,NA,"Mafia","Kitutia",NA,"Algae-macro/fleshy","AMAC",7,NA,"","Pre","GCRMN",-8.15694,39.6508
"158","Tanzania",2015,NA,"Mafia","Kitutia",NA,"Coral","HC",45,NA,"","Pre","GCRMN",-8.15694,39.6508
"159","Tanzania",2011,NA,"Mafia","Kitutia",NA,"Coral","HC",52,NA,"","Pre","GCRMN",-8.15694,39.6508
"160","Tanzania",2009,NA,"Mafia","Kitutia",NA,"Coral","HC",30,NA,"","Pre","GCRMN",-8.15694,39.6508
"161","Tanzania",2005,NA,"Mafia","Kitutia",NA,"Algae-coralline","ACOR",6,NA,"","Pre","GCRMN",-8.15694,39.6508
"162","Tanzania",2005,NA,"Mafia","Kitutia",NA,"Algae-macro/fleshy","AMAC",21,NA,"","Pre","GCRMN",-8.15694,39.6508
"163","Tanzania",2005,NA,"Mafia","Kitutia",NA,"Bare substrate","BS",0,NA,"","Pre","GCRMN",-8.15694,39.6508
"164","Tanzania",2005,NA,"Mafia","Kitutia",NA,"Coral","HC",23,NA,"","Pre","GCRMN",-8.15694,39.6508
"165","Tanzania",2005,NA,"Mafia","Kitutia",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN",-8.15694,39.6508
"166","Tanzania",2005,NA,"Mafia","Kitutia",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN",-8.15694,39.6508
"167","Tanzania",2003,NA,"Mafia","Kitutia",NA,"Algae-coralline","ACOR",13,NA,"","Pre","GCRMN",-8.15694,39.6508
"168","Tanzania",2003,NA,"Mafia","Kitutia",NA,"Algae-macro/fleshy","AMAC",44,NA,"","Pre","GCRMN",-8.15694,39.6508
"169","Tanzania",2003,NA,"Mafia","Kitutia",NA,"Bare substrate","BS",14,NA,"","Pre","GCRMN",-8.15694,39.6508
"170","Tanzania",2003,NA,"Mafia","Kitutia",NA,"Dead Standing coral","DC",0,NA,"","Pre","GCRMN",-8.15694,39.6508
"171","Tanzania",2003,NA,"Mafia","Kitutia",NA,"Coral","HC",17,NA,"","Pre","GCRMN",-8.15694,39.6508
"172","Tanzania",2003,NA,"Mafia","Kitutia",NA,"Soft coral","SC",10,NA,"","Pre","GCRMN",-8.15694,39.6508
"173","Tanzania",2003,NA,"Mafia","Kitutia",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN",-8.15694,39.6508
"174","Tanzania",2001,NA,"Mafia","Kitutia",NA,"Algae-coralline","ACOR",18,NA,"","Pre","GCRMN",-8.15694,39.6508
"175","Tanzania",2001,NA,"Mafia","Kitutia",NA,"Algae-macro/fleshy","AMAC",24,NA,"","Pre","GCRMN",-8.15694,39.6508
"176","Tanzania",2001,NA,"Mafia","Kitutia",NA,"Bare substrate","BS",29,NA,"","Pre","GCRMN",-8.15694,39.6508
"177","Tanzania",2001,NA,"Mafia","Kitutia",NA,"Dead Standing coral","DC",6,NA,"","Pre","GCRMN",-8.15694,39.6508
"178","Tanzania",2001,NA,"Mafia","Kitutia",NA,"Coral","HC",19,NA,"","Pre","GCRMN",-8.15694,39.6508
"179","Tanzania",2001,NA,"Mafia","Kitutia",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN",-8.15694,39.6508
"180","Tanzania",2001,NA,"Mafia","Kitutia",NA,"Spongy","SPG",1,NA,"","Pre","GCRMN",-8.15694,39.6508
"181","Tanzania",1999,NA,"Mafia","Kitutia",NA,"Algae-coralline","ACOR",3,NA,"","Pre","GCRMN",-8.15694,39.6508
"182","Tanzania",1999,NA,"Mafia","Kitutia",NA,"Algae-macro/fleshy","AMAC",15,NA,"","Pre","GCRMN",-8.15694,39.6508
"183","Tanzania",1999,NA,"Mafia","Kitutia",NA,"Bare substrate","BS",38,NA,"","Pre","GCRMN",-8.15694,39.6508
"184","Tanzania",1999,NA,"Mafia","Kitutia",NA,"Dead Standing coral","DC",22,NA,"","Pre","GCRMN",-8.15694,39.6508
"185","Tanzania",1999,NA,"Mafia","Kitutia",NA,"Coral","HC",15,NA,"","Pre","GCRMN",-8.15694,39.6508
"186","Tanzania",1999,NA,"Mafia","Kitutia",NA,"Soft coral","SC",4,NA,"","Pre","GCRMN",-8.15694,39.6508
"187","Tanzania",1999,NA,"Mafia","Kitutia",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN",-8.15694,39.6508
"188","Tanzania",2008,NA,"Tanga","Kitanga",NA,"Algae-coralline","ACOR",2,NA,"","Pre","GCRMN",-5.3,39.1
"189","Tanzania",2008,NA,"Tanga","Kitanga",NA,"Algae-macro/fleshy","AMAC",3,NA,"","Pre","GCRMN",-5.3,39.1
"190","Tanzania",2008,NA,"Tanga","Kitanga",NA,"Bare substrate","BS",3,NA,"","Pre","GCRMN",-5.3,39.1
"191","Tanzania",2008,NA,"Tanga","Kitanga",NA,"Dead Standing coral","DC",28,NA,"","Pre","GCRMN",-5.3,39.1
"192","Tanzania",2008,NA,"Tanga","Kitanga",NA,"Coral","HC",49,NA,"","Pre","GCRMN",-5.3,39.1
"193","Tanzania",2008,NA,"Tanga","Kitanga",NA,"Recent Dead Coral","RDC",0,NA,"","Pre","GCRMN",-5.3,39.1
"194","Tanzania",2008,NA,"Tanga","Kitanga",NA,"Rubble","RUB",10,NA,"","Pre","GCRMN",-5.3,39.1
"195","Tanzania",2008,NA,"Tanga","Kitanga",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN",-5.3,39.1
"196","Tanzania",2008,NA,"Tanga","Kitanga",NA,"Seagrass","SGR",0,NA,"","Pre","GCRMN",-5.3,39.1
"197","Tanzania",2008,NA,"Tanga","Kitanga",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN",-5.3,39.1
"198","Tanzania",2007,NA,"Tanga","Kitanga",NA,"Algae-coralline","ACOR",1,NA,"","Pre","GCRMN",-5.3,39.1
"199","Tanzania",2007,NA,"Tanga","Kitanga",NA,"Algae-macro/fleshy","AMAC",2,NA,"","Pre","GCRMN",-5.3,39.1
