"Country","Year","Period","level1_code","mean_cover","sd"
"Kenya",2017,"Post","BS",1.43947368421053,2.36887566786958
"Kenya",2017,"Post","DC",0.176666666666667,0.305995642670502
"Kenya",2017,"Post","HC",26.2121052631579,17.4844589974282
"Kenya",2017,"Post","INV",2.32684210526316,3.36615186267243
"Kenya",2017,"Post","RDC",0.732631578947368,1.72571673388596
"Kenya",2017,"Post","RUB",9.23210526315789,7.55549290909701
"Kenya",2017,"Post","SC",1.94736842105263,3.12197203009975
"Kenya",2017,"Post","SGR",8.95105263157895,8.4065364084125
"Kenya",2017,"Post","SND",8.34842105263158,8.75542388285233
"Kenya",2017,"Post",NA,0,0
