"COUNTRY","NAP","Transect_ID","YEAR","benthic_cover","mean_cover","sd","samples","benthic_code","Organization","Period","Source"
"Madagascar","Soariake","Andravona_12",2017,"Algae-macro/fleshy",6.6,6.57267069006199,20,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Andravona_unknown",2017,"Coral",52.25,25.7250134264197,20,"HC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Andravona_unknown",2017,"Soft coral",31,22.1002500581233,20,"SC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Andravona_unknown",2017,"Algae-macro/fleshy",8.55,6.78601503092942,20,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Andre_07",2016,"Coral",24,22.6936114358204,15,"HC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Andre_07",2016,"Soft coral",60.6666666666667,22.1090371524751,15,"SC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Andre_07",2016,"Algae-macro/fleshy",1.33333333333333,5.16397779494322,15,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Andre_07",2017,"Coral",20.5526315789474,12.6783436730919,38,"HC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Andre_07",2017,"Soft coral",55.6842105263158,22.735976091194,38,"SC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Andre_07",2017,"Algae-macro/fleshy",12.7631578947368,13.3425436420219,38,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Anka_01",2016,"Coral",65.5,29.8561365365462,10,"HC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Anka_01",2016,"Soft coral",17,26.9979423084221,10,"SC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Anka_01",2016,"Algae-macro/fleshy",11.6,25.7992247945554,10,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Anka_01",2017,"Coral",45.75,18.6585376072463,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Anka_01",2017,"Soft coral",11.325,11.4475112063939,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Anka_01",2017,"Algae-macro/fleshy",26.725,19.4237331699241,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Antsa_09",2016,"Coral",9.47368421052632,10.787690624311,19,"HC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Antsa_09",2016,"Soft coral",8.68421052631579,9.69566129530195,19,"SC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Antsa_09",2016,"Algae-macro/fleshy",41.8421052631579,10.5686284083011,19,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Antsa_09",2017,"Coral",11.5526315789474,10.4148993284986,38,"HC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Antsa_09",2017,"Soft coral",9.39473684210526,6.58228364908292,38,"SC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Antsa_09",2017,"Algae-macro/fleshy",69.6578947368421,15.9987775137529,38,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Beko_03",2016,"Coral",45,25.8198889747161,22,"HC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Beko_03",2016,"Soft coral",13.6363636363636,18.0067327475704,22,"SC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Beko_03",2016,"Algae-macro/fleshy",5.45454545454545,12.6217019180204,22,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Beko_03",2017,"Coral",48.25,19.7273076385671,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Beko_03",2017,"Soft coral",17.975,18.1581196078313,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Beko_03",2017,"Algae-macro/fleshy",12.75,13.7257945452143,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Belo_04",2017,"Coral",47.875,25.0611431789513,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Belo_04",2017,"Soft coral",4.6,7.67880866828329,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Belo_04",2017,"Algae-macro/fleshy",11.875,16.3960400159651,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Sal_N1_11",2016,"Coral",48.3333333333333,28.3110429252465,12,"HC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Sal_N1_11",2016,"Soft coral",17.5,22.9128784747792,12,"SC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Sal_N1_11",2016,"Algae-macro/fleshy",16.6666666666667,19.1089380958628,12,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Sal_N1_11",2017,"Coral",33.8571428571429,20.2588293854119,35,"HC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Sal_N1_11",2017,"Soft coral",17.0857142857143,19.2497080628305,35,"SC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Sal_N1_11",2017,"Algae-macro/fleshy",18.7714285714286,17.2321275090279,35,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Sal_N2_02",2016,"Coral",39.375,21.7842505363065,8,"HC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Sal_N2_02",2016,"Soft coral",31.875,24.1923098761333,8,"SC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Sal_N2_02",2016,"Algae-macro/fleshy",21.875,36.0493213726496,8,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Sal_N2_02",2017,"Coral",53.2702702702703,17.5904782460547,37,"HC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Sal_N2_02",2017,"Soft coral",15.9189189189189,10.5944911743435,37,"SC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Sal_N2_02",2017,"Algae-macro/fleshy",13.2162162162162,8.5411914831569,37,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Sal_N2_05",2016,"Coral",35,21.6794833886788,6,"HC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Sal_N2_05",2016,"Soft coral",53.3333333333333,23.1660671385254,6,"SC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Sal_N2_05",2016,"Algae-macro/fleshy",0,0,6,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Sal_N2_05",2017,"Coral",48.375,27.4419550585576,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Sal_N2_05",2017,"Soft coral",7.125,10.04142062684,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Sal_N2_05",2017,"Algae-macro/fleshy",36.675,28.2964050448381,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Sal_N2_13",2016,"Coral",5.75,6.54438288675266,20,"HC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Sal_N2_13",2016,"Soft coral",48.75,19.1857266024292,20,"SC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Sal_N2_13",2016,"Algae-macro/fleshy",12.75,12.2983738762488,20,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Sal_N2_13",2017,"Coral",10.6486486486486,12.4191076263246,37,"HC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Sal_N2_13",2017,"Soft coral",56.9459459459459,21.7752993932038,37,"SC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Sal_N2_13",2017,"Algae-macro/fleshy",19.9459459459459,15.1839570781978,37,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Tsand_10",2016,"Coral",14.7619047619048,15.848989752993,21,"HC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Tsand_10",2016,"Soft coral",14.047619047619,10.561610627533,21,"SC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Tsand_10",2016,"Algae-macro/fleshy",51.4285714285714,19.5027470592515,21,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Tsand_10",2017,"Coral",50.5675675675676,19.9270064381378,37,"HC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Tsand_10",2017,"Soft coral",16.5405405405405,12.210183806503,37,"SC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Tsand_10",2017,"Algae-macro/fleshy",6.94594594594595,6.52323175677153,37,"AMAC","WCS Madagascar","Post","New"
