"Country","Year","Sector","Site","Station","Reef.zone","benthic_name2","benthic_code","mean_cover","sd","Organization","Period","Source"
"Tanzania",1997,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",1,NA,"","Pre","GCRMN"
"Tanzania",1997,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN"
"Tanzania",1996,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN"
"Tanzania",1996,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",34,NA,"","Pre","GCRMN"
"Tanzania",1996,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",7,NA,"","Pre","GCRMN"
"Tanzania",1996,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",25,NA,"","Pre","GCRMN"
"Tanzania",1996,NA,"Zanzibar","Kwale",NA,"Coral","HC",29,NA,"","Pre","GCRMN"
"Tanzania",1996,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",2,NA,"","Pre","GCRMN"
"Tanzania",1996,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN"
"Tanzania",1995,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN"
"Tanzania",1995,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",33,NA,"","Pre","GCRMN"
"Tanzania",1995,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",13,NA,"","Pre","GCRMN"
"Tanzania",1995,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",25,NA,"","Pre","GCRMN"
"Tanzania",1995,NA,"Zanzibar","Kwale",NA,"Coral","HC",26,NA,"","Pre","GCRMN"
"Tanzania",1995,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN"
"Tanzania",1995,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN"
"Tanzania",1994,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN"
"Tanzania",1994,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",33,NA,"","Pre","GCRMN"
"Tanzania",1994,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",23,NA,"","Pre","GCRMN"
