"Country","Year","Sector","Site","Station","Reef.zone","Period","site.id","FA","HC"
"Kenya",2013,NA,"Malindi","New_Coral_Garden",NA,"Pre","Kenya_Malindi_New_Coral_Garden",34.5,41.9
"Kenya",2013,NA,"Malindi","North_Reef",NA,"Pre","Kenya_Malindi_North_Reef",38.1,24.6
"Kenya",2013,NA,"Malindi","Old_Coral_Garden",NA,"Pre","Kenya_Malindi_Old_Coral_Garden",25.7,41.5
"Kenya",2013,NA,"Mombasa","Coral_Garden",NA,"Pre","Kenya_Mombasa_Coral_Garden",37.8,32
"Kenya",2013,NA,"Mombasa","Nyali",NA,"Pre","Kenya_Mombasa_Nyali",27.4,28.6
"Kenya",2013,NA,"Mombasa","Ras_Iwatine",NA,"Pre","Kenya_Mombasa_Ras_Iwatine",23.3,29.2
"Kenya",2013,NA,"Mombasa","Starfish",NA,"Pre","Kenya_Mombasa_Starfish",29.3,25.6
"Kenya",2013,NA,"Shimoni","Wasini_Tengefu",NA,"Pre","Kenya_Shimoni_Wasini_Tengefu",34.7,37.1
"Kenya",2014,"","Kilifi","Kuruwitu",NA,"Pre","Kenya_Kilifi_Kuruwitu",50.38,28.2
"Kenya",2014,"","Lamu","Tausi",NA,"Pre","Kenya_Lamu_Tausi",4.977168061,49.14541403
"Kenya",2014,"","Malindi","Kivulini",NA,"Pre","Kenya_Malindi_Kivulini",25.563873733,5.42426057
"Kenya",2014,"","Watamu","Coral_Garden_2",NA,"Pre","Kenya_Watamu_Coral_Garden_2",75.8,10.4
"Kenya",2014,"","Watamu","Richard_Bernets_2",NA,"Pre","Kenya_Watamu_Richard_Bernets_2",73.1,13.5
"Kenya",2014,NA,"Kisite","Mkwiro",NA,"Pre","Kenya_Kisite_Mkwiro",21,17.1
"Kenya",2014,NA,"Lamu","Iweni",NA,"Pre","Kenya_Lamu_Iweni",70.6,18.2
"Kenya",2014,NA,"Lamu","Majongooni",NA,"Pre","Kenya_Lamu_Majongooni",71.3,21.5
"Kenya",2014,NA,"Lamu","Pezali_Rock",NA,"Pre","Kenya_Lamu_Pezali_Rock",72.3,7.7
"Kenya",2014,NA,"Shimoni","Kibuyuni",NA,"Pre","Kenya_Shimoni_Kibuyuni",24.6,28.4
"Kenya",2014,NA,"Shimoni","Mpunguti-Lower",NA,"Pre","Kenya_Shimoni_Mpunguti-Lower",36.7,16.7
"Kenya",2014,NA,"Shimoni","Wasini_Tengefu",NA,"Pre","Kenya_Shimoni_Wasini_Tengefu",21.7,50.1
"Kenya",2014,NA,"Watamu","Uyombo",NA,"Pre","Kenya_Watamu_Uyombo",57.1,11.6
"Kenya",2015,"","Watamu","Richard_Bernets",NA,"Pre","Kenya_Watamu_Richard_Bernets",24,23.5
"Kenya",2015,NA,"Lamu","Iweni",NA,"Pre","Kenya_Lamu_Iweni",40,11
"Kenya",2015,NA,"Lamu","Pezali_Rock",NA,"Pre","Kenya_Lamu_Pezali_Rock",32,26.8
"Kenya",2015,NA,"Malindi","Mayunguni",NA,"Pre","Kenya_Malindi_Mayunguni",22.5,5.3
"Kenya",2015,NA,"Malindi","New_Coral_Garden",NA,"Pre","Kenya_Malindi_New_Coral_Garden",7.5,36.5
"Kenya",2015,NA,"Malindi","North_Reef",NA,"Pre","Kenya_Malindi_North_Reef",13.5,16
"Kenya",2015,NA,"Malindi","Old_Coral_Garden",NA,"Pre","Kenya_Malindi_Old_Coral_Garden",9.5,22.5
"Kenya",2016,"","Kisite","Light_house",NA,"Post","Kenya_Kisite_Light_house",20.59,36.89
"Kenya",2016,"","Kisite","Mkwiro",NA,"Post","Kenya_Kisite_Mkwiro",43.18,28.83
"Kenya",2016,"","Malindi","Kivulini",NA,"Post","Kenya_Malindi_Kivulini",59.6,9.68
"Kenya",2016,"","Malindi","New_Coral_Garden",NA,"Post","Kenya_Malindi_New_Coral_Garden",11.26,40.36
"Kenya",2016,"","Malindi","Old_Coral_Garden",NA,"Post","Kenya_Malindi_Old_Coral_Garden",13.18,24.64
"Kenya",2016,"","Mombasa","Coral_Garden",NA,"Post","Kenya_Mombasa_Coral_Garden",18.82,34.36
"Kenya",2016,"","Mombasa","Nyali",NA,"Post","Kenya_Mombasa_Nyali",4.24,25.37
"Kenya",2016,"","Mombasa","Ras_Iwatine",NA,"Post","Kenya_Mombasa_Ras_Iwatine",13.59,30.48
"Kenya",2016,"","Mombasa","Starfish",NA,"Post","Kenya_Mombasa_Starfish",26.4,13.37
"Kenya",2016,"","Watamu","Coral_Garden",NA,"Post","Kenya_Watamu_Coral_Garden",42,28.5
"Kenya",2016,"","Watamu","Richard_Bernets",NA,"Post","Kenya_Watamu_Richard_Bernets",34.92,28.79
"Kenya",2016,NA,"Lamu","Iweni",NA,"Pre","Kenya_Lamu_Iweni",54.5,29.7
"Kenya",2016,NA,"Lamu","Pezali_Rock",NA,"Pre","Kenya_Lamu_Pezali_Rock",7.9,56.4
"Kenya",2017,"","Diani-Chale","Chidzamba_cha_mekka",NA,"Post","Kenya_Diani-Chale_Chidzamba_cha_mekka",53.5,10.5
"Kenya",2017,"","Diani-Chale","Mtengo",NA,"Post","Kenya_Diani-Chale_Mtengo",47.66,23.66
"Kenya",2017,"","Diani-Chale","Mwagogo",NA,"Post","Kenya_Diani-Chale_Mwagogo",51,7
"Kenya",2017,"","Diani-Chale","Tsipitali",NA,"Post","Kenya_Diani-Chale_Tsipitali",66,2.99
"Kenya",2017,"","Kilifi","Kanamai",NA,"Post","Kenya_Kilifi_Kanamai",34,34.34
"Kenya",2017,"","Kilifi","Kuruwitu",NA,"Post","Kenya_Kilifi_Kuruwitu",32.33,28.32
"Kenya",2017,"","Lamu","Iweni",NA,"Post","Kenya_Lamu_Iweni",10.34,52.66
"Kenya",2017,"","Lamu","Majongooni",NA,"Post","Kenya_Lamu_Majongooni",18.99,16.99
"Kenya",2017,"","Lamu","Pezali_Rock",NA,"Post","Kenya_Lamu_Pezali_Rock",48.67,21
"Kenya",2017,"","Lamu","Tausi",NA,"Post","Kenya_Lamu_Tausi",6,63.67
"Kenya",2017,"","Malindi","Mayunguni",NA,"Post","Kenya_Malindi_Mayunguni",51.01,15.34
"Kenya",2017,"","Malindi","North_Reef",NA,"Post","Kenya_Malindi_North_Reef",60.33,23
"Kenya",2017,"","Shimoni","Kibuyuni",NA,"Post","Kenya_Shimoni_Kibuyuni",11.5,35
"Kenya",2017,"","Shimoni","Mpunguti-Lower",NA,"Post","Kenya_Shimoni_Mpunguti-Lower",16.34,28.33
"Kenya",2017,"","Shimoni","Mpunguti-Upper",NA,"Post","Kenya_Shimoni_Mpunguti-Upper",18.67,61
"Kenya",2017,"","Shimoni","Wasini_Tengefu",NA,"Post","Kenya_Shimoni_Wasini_Tengefu",30,34.65
"Kenya",2017,"","Watamu","Coral_Garden_2","Lagoon","Post","Kenya_Watamu_Coral_Garden_2",73.52,11.2
"Kenya",2017,"","Watamu","Richard_Bernets_2","Lagoon","Post","Kenya_Watamu_Richard_Bernets_2",72.12,9.21
"Kenya",2017,"","Watamu","Uyombo","Lagoon","Post","Kenya_Watamu_Uyombo",64.53,19.17
"Madagascar",2005,"South West","Andavadoaka","Lost",NA,"Pre","Madagascar_Andavadoaka_Lost",63.333333337,16.444444443
"Madagascar",2005,"South West","Andavadoaka","Ns_Coco_Beach",NA,"Pre","Madagascar_Andavadoaka_Ns_Coco_Beach",53.333333337,34.166666667
"Madagascar",2005,"South West","Andavadoaka","Recruitment_North",NA,"Pre","Madagascar_Andavadoaka_Recruitment_North",38.125,44.375
"Madagascar",2006,"South West","Andavadoaka","Lost",NA,"Pre","Madagascar_Andavadoaka_Lost",63.66666667,10.666666665
"Madagascar",2006,"South West","Andavadoaka","Ns_Coco_Beach",NA,"Pre","Madagascar_Andavadoaka_Ns_Coco_Beach",59.66666667,34.666666663
"Madagascar",2006,"South West","Andavadoaka","Recruitment_North",NA,"Pre","Madagascar_Andavadoaka_Recruitment_North",24.923076928,49.230769229
"Madagascar",2007,"South West","Andavadoaka","Lost",NA,"Pre","Madagascar_Andavadoaka_Lost",53,25.999999999
"Madagascar",2007,"South West","Andavadoaka","Ns_Coco_Beach",NA,"Pre","Madagascar_Andavadoaka_Ns_Coco_Beach",43,51.333333334
"Madagascar",2007,"South West","Andavadoaka","Recruitment_North",NA,"Pre","Madagascar_Andavadoaka_Recruitment_North",28.800000004,54.133333333
