"Country","Site","Station","Period","benthic_category","recent_year","no_years_benthic","recent_cover","ave_cover","cover","paste(algae_r1$Site, algae_r1$Station, sep = """")"
"Madagascar","Nosy Be","Turtle_towers","Post","FA",2017,1,8.5,8.5,8.5,"Nosy BeTurtle_towers"
"Madagascar","Nosy Be","Turtle_towers","Post","HC",2017,1,42.29,42.29,42.29,"Nosy BeTurtle_towers"
"Madagascar","Nosy Komba","Dragon's_Den","Pre","FA",2016,1,3.25,3.25,3.25,"Nosy KombaDragon's_Den"
"Madagascar","Nosy Komba","Dragon's_Den","Pre","HC",2016,1,62.74,62.74,62.74,"Nosy KombaDragon's_Den"
"Madagascar","Nosy Komba","Dragon's_Den","Post","FA",2017,2,10.89,5.85,10.89,"Nosy KombaDragon's_Den"
"Madagascar","Nosy Komba","Dragon's_Den","Post","HC",2017,2,50.64,56.69,50.64,"Nosy KombaDragon's_Den"
"Madagascar","Nosy Komba","Galaxea","Pre","FA",2016,1,0,0,0,"Nosy KombaGalaxea"
"Madagascar","Nosy Komba","Galaxea","Pre","HC",2016,1,54.9,54.9,54.9,"Nosy KombaGalaxea"
"Madagascar","Nosy Komba","Galaxea","Post","FA",2017,2,10.37,5.695,10.37,"Nosy KombaGalaxea"
"Madagascar","Nosy Komba","Galaxea","Post","HC",2017,2,43.61,49.255,43.61,"Nosy KombaGalaxea"
"Madagascar","Nosy Komba","Turtle_Towers","Pre","FA",2016,1,3.88,3.88,3.88,"Nosy KombaTurtle_Towers"
"Madagascar","Nosy Komba","Turtle_Towers","Pre","HC",2016,1,51.34,51.34,51.34,"Nosy KombaTurtle_Towers"
"Madagascar","Nosy Komba","Turtle_Towers","Post","FA",2017,2,12.35,8.25,12.35,"Nosy KombaTurtle_Towers"
"Madagascar","Nosy Komba","Turtle_Towers","Post","HC",2017,2,39.18,45.26,39.18,"Nosy KombaTurtle_Towers"
"Mauritius","Anse La Raie Lagoon","Degraded_Coral_1","Pre","FA",2016,3,8.75,5.03666666666667,5.03666666666667,"Anse La Raie LagoonDegraded_Coral_1"
"Mauritius","Anse La Raie Lagoon","Degraded_Coral_1","Pre","HC",2016,3,33.12,39.3733333333333,39.3733333333333,"Anse La Raie LagoonDegraded_Coral_1"
"Mauritius","Anse La Raie Lagoon","Degraded_Coral_1","Post","FA",2017,1,3.12,3.12,3.12,"Anse La Raie LagoonDegraded_Coral_1"
"Mauritius","Anse La Raie Lagoon","Degraded_Coral_1","Post","HC",2017,1,28.75,28.75,28.75,"Anse La Raie LagoonDegraded_Coral_1"
"Mauritius","Anse La Raie Lagoon","Degraded_Coral_2","Pre","FA",2016,3,41.88,33.5433333333333,33.5433333333333,"Anse La Raie LagoonDegraded_Coral_2"
"Mauritius","Anse La Raie Lagoon","Degraded_Coral_2","Pre","HC",2016,3,0,0.416666666666667,0.416666666666667,"Anse La Raie LagoonDegraded_Coral_2"
"Mauritius","Anse La Raie Lagoon","Degraded_Coral_2","Post","FA",2017,1,30,30,30,"Anse La Raie LagoonDegraded_Coral_2"
"Mauritius","Anse La Raie Lagoon","Degraded_Coral_2","Post","HC",2017,1,0,0,0,"Anse La Raie LagoonDegraded_Coral_2"
"Mauritius","Anse La Raie Lagoon","Live_Branching_Coral","Pre","FA",2016,4,5.62,1.56,1.56,"Anse La Raie LagoonLive_Branching_Coral"
"Mauritius","Anse La Raie Lagoon","Live_Branching_Coral","Pre","HC",2016,4,51.88,41.64,41.64,"Anse La Raie LagoonLive_Branching_Coral"
"Mauritius","Anse La Raie Lagoon","Live_Branching_Coral","Post","FA",2017,2,0,0,0,"Anse La Raie LagoonLive_Branching_Coral"
"Mauritius","Anse La Raie Lagoon","Live_Branching_Coral","Post","HC",2017,2,40.62,46.25,40.62,"Anse La Raie LagoonLive_Branching_Coral"
"Mauritius","Anse La Raie Lagoon","Live_Lettuce_Coral","Pre","FA",2016,4,10,3.5675,3.5675,"Anse La Raie LagoonLive_Lettuce_Coral"
"Mauritius","Anse La Raie Lagoon","Live_Lettuce_Coral","Pre","HC",2016,4,56.25,59.8175,59.8175,"Anse La Raie LagoonLive_Lettuce_Coral"
"Mauritius","Anse La Raie Lagoon","Live_Lettuce_Coral","Post","FA",2017,2,0,0,0,"Anse La Raie LagoonLive_Lettuce_Coral"
"Mauritius","Anse La Raie Lagoon","Live_Lettuce_Coral","Post","HC",2017,2,65.62,60.935,65.62,"Anse La Raie LagoonLive_Lettuce_Coral"
"Mauritius","Anse La Raie Lagoon","Snorkeling_trail","Pre","FA",2016,1,2.64,2.64,2.64,"Anse La Raie LagoonSnorkeling_trail"
"Mauritius","Anse La Raie Lagoon","Snorkeling_trail","Pre","HC",2016,1,38.67,38.67,38.67,"Anse La Raie LagoonSnorkeling_trail"
"Mauritius","Anse La Raie Lagoon","Snorkeling_trail","Post","FA",2017,1,2.4,2.4,2.4,"Anse La Raie LagoonSnorkeling_trail"
"Mauritius","Anse La Raie Lagoon","Snorkeling_trail","Post","HC",2017,1,40,40,40,"Anse La Raie LagoonSnorkeling_trail"
"Seychelles","Cerf Island","Cerf_Island","Pre","FA",2016,1,0,0,0,"Cerf IslandCerf_Island"
"Seychelles","Cerf Island","Cerf_Island","Pre","HC",2016,1,33,33,33,"Cerf IslandCerf_Island"
"Seychelles","Cerf Island","Cerf_Island","Post","FA",2017,1,0,0,0,"Cerf IslandCerf_Island"
"Seychelles","Cerf Island","Cerf_Island","Post","HC",2017,1,61,61,61,"Cerf IslandCerf_Island"
"Seychelles","Cerf Island","Fairy_Tern","Pre","FA",2016,1,0,0,0,"Cerf IslandFairy_Tern"
"Seychelles","Cerf Island","Fairy_Tern","Pre","HC",2016,1,51,51,51,"Cerf IslandFairy_Tern"
"Seychelles","Cerf Island","Fairy_Tern","Post","FA",2017,1,0,0,0,"Cerf IslandFairy_Tern"
"Seychelles","Cerf Island","Fairy_Tern","Post","HC",2017,1,34,34,34,"Cerf IslandFairy_Tern"
"Seychelles","Cerf Island","Habitation","Pre","FA",2016,1,2,2,2,"Cerf IslandHabitation"
"Seychelles","Cerf Island","Habitation","Pre","HC",2016,1,27,27,27,"Cerf IslandHabitation"
"Seychelles","Cerf Island","Habitation","Post","FA",2017,1,0,0,0,"Cerf IslandHabitation"
"Seychelles","Cerf Island","Habitation","Post","HC",2017,1,52,52,52,"Cerf IslandHabitation"
"Seychelles","Mahe NW","Anse_Major_Point","Pre","FA",2014,3,0,0,0,"Mahe NWAnse_Major_Point"
"Seychelles","Mahe NW","Anse_Major_Point","Pre","HC",2014,3,35,33.6666666666667,33.6666666666667,"Mahe NWAnse_Major_Point"
"Seychelles","Mahe NW","Anse_Major_Point","Post","FA",2017,1,64.57,64.57,64.57,"Mahe NWAnse_Major_Point"
"Seychelles","Mahe NW","Anse_Major_Point","Post","HC",2017,1,19.28,19.28,19.28,"Mahe NWAnse_Major_Point"
"Seychelles","Mahe NW","Anse_Major_Reef","Pre","FA",2016,5,55.88,11.176,11.176,"Mahe NWAnse_Major_Reef"
"Seychelles","Mahe NW","Anse_Major_Reef","Pre","HC",2016,5,18.85,20.37,20.37,"Mahe NWAnse_Major_Reef"
"Seychelles","Mahe NW","Anse_Major_Reef","Post","FA",2017,1,58.14,58.14,58.14,"Mahe NWAnse_Major_Reef"
