Country,Site,Station,zone,Latitude,Longitude
Mauritius,NA,Trou d'Eau Douce,back reef,-20.238551,57.801656
Mauritius,,Trou d'Eau Douce,shore reef,-20.238551,57.801656
Mozambique,Inhambane,Anchor's_Bay,,-23.77694444,35.51055556
Mozambique,Inhaca_Island,Baixo_Danae,,-25.90431667,33.05226667
Mozambique,CORDIO,Baixo_Pinguim_NE,,-11.10721667,40.68205
Mozambique,Ponta_do_Ouro_Partial_Marine_Reserve,Baixo_Sao_Joao,,-25.90431667,33.05226667
Mozambique,Inhaca_Island,Barreira_Vermelha,,-26.01965,32.90298333
Mozambique,Inhambane,Bazaruto_26,,-21.80775,35.50539
Mozambique,Inhambane,Bazaruto_27,,-21.72648,35.50181
Mozambique,Inhambane,Bazaruto_28,,-21.638131,35.50063
Mozambique,Inhambane,Bazaruto_29,,-21.35818,35.500616
Mozambique,Inhambane,Bazaruto_30,,-21.3772,35.50225
Mozambique,Inhambane,Bazaruto_31,,-21.51352,35.48972
Mozambique,Inhambane,Bazaruto_32,,-21.601817,35.5001
Mozambique,Inhambane,Bazaruto_33,,-21.52737,35.49739
Mozambique,Caldeira Island,CD1,,-16.65718,39.72448
Mozambique,Caldeira Island,CD1_base,,-16.65718,39.72448
Mozambique,Caldeira Island,CD1_top,,-16.65718,39.72448
Mozambique,Caldeira Island,CD2,,-16.63905,39.73057
Mozambique,Caldeira Island,CD2_deep,,-16.63905,39.73057
Mozambique,Caldeira Island,CD2_shallow,,-16.63905,39.73057
Mozambique,Caldeira Island,CD3,,-16.634964,39.739903
Mozambique,Caldeira Island,CD4,,-16.655428,39.71529404
Mozambique,Caldeira Island,CD5,,-16.658765,39.73195801
Mozambique,Caldeira Island,CD6,,-16.64733997,39.74325598
Mozambique,Caldeira Island,CD7,,-16.64993903,39.740743
Mozambique,Caldeira Island,CD7_top,,-16.64993903,39.740743
Mozambique,Caldeira Island,CD8,,-16.64215903,39.71798899
Mozambique,Chongoene_Reef,Chongoene_central-II-transects,,-25.12681667,33.82851667
Mozambique,Bazaruto_Archipelago,Coral_Garden,,-21.518083,35.487625
Mozambique,Ponta_do_Ouro_Partial_Marine_Reserve,Creche,,-26.80618333,32.8937
Mozambique,Primeiras_e_Segundas_Archipelagos,Epidendron,,-17.098476,39.124807
Mozambique,CORDIO,FernauVloso,,-11.22779167,40.24654167
Mozambique,Primeiras_e_Segundas_Archipelagos,Fogo,,-17.243967,38.880774
Mozambique,Mozambique_Island,Goa_Island,,-15.04811667,40.78356667
Mozambique,Baixo_Inhampura,Inhampura_central_II-transects,,-25.18185,33.6444
Mozambique,Ponta_do_Ouro_Partial_Marine_Reserve,Kev's_Lodge,,-26.6295,32.90463333
Mozambique,CORDIO,Kiwe,,-11.11665,40.62633333
Mozambique,Bazaruto_Archipelago,Lighthouse_Reef,,-21.52033333,35.49066667
Mozambique,Primeiras_e_Segundas_Archipelagos,Mafamede,,-16.358914,40.039693
Mozambique,Inhambane,Magaruque_24,,-22.0451,35.528
Mozambique,Inhambane,Mahangate_21,,-22.52118,35.56439
Mozambique,CORDIO,MakungN,,-11.09869167,40.72753333
Mozambique,CORDIO,Malinde-Kiwe,,-11.30974604,40.52603798
Mozambique,Inhambane,Masinga_13,,-23.37879,35.60508
Mozambique,Inhambane,Masinga_14,,-23.39329,35.60396
Mozambique,CORDIO,Metundflat,,-11.12815833,40.686
Mozambique,CORDIO,Metundo_NW_,,-11.12012357,40.67395834
Mozambique,CORDIO,MetundoE_,,-11.15118097,40.70303704
Mozambique,CORDIO,MetundoNE_,,-11.13314998,40.70244997
Mozambique,Inhambane,Mike's_Cub_Board,,-23.81222222,35.54166667
Mozambique,CORDIO,Mutiva,,-14.428625,40.721225
Mozambique,CORDIO,Nangata,,-14.19954167,40.73881667
Mozambique,CORDIO,Napala,,-14.44946667,40.6774
Mozambique,Njovo Island,ND1,,-16.57990403,39.81869001
Mozambique,Njovo Island,ND1_top,,-16.57990403,39.81869001
Mozambique,Njovo Island,ND2,,-16.58542796,39.81232597
Mozambique,Njovo Island,ND2_slope,,-16.58542796,39.81232597
Mozambique,Njovo Island,ND3,,-16.57117998,39.798368
Mozambique,Njovo Island,ND4,,-16.58067701,39.79987096
Mozambique,Njovo Island,ND5,,-16.56599401,39.82281198
Mozambique,Njovo Island,ND6,,-16.56061199,39.81346901
Mozambique,Primeiras_e_Segundas_Archipelagos,Njovo,,-16.571057,39.810983
Mozambique,Inhambane,Paindane_11,,-24.09789,35.50832
Mozambique,Primeiras_e_Segundas_Archipelagos,Ndjovo,,-16.571057,39.810983
Mozambique,CORDIO,Palma_Islands_,,-10.81467949,40.65298249
Mozambique,CORDIO,Paradise,,-4.91282,39.67093
Mozambique,Inhambane,Pomene_15,,-23.20505,35.617633
Mozambique,Inhambane,Pomene_16,,-23.191667,35.5342
Mozambique,Inhambane,Pomene_17,,-23.944817,35.608
Mozambique,Inhambane,Pomene_18,,-22.792483,35.5792
Mozambique,Inhambane,Pomene_19,,-22.77511,35.60679
Mozambique,Inhambane,Pomene_20,,-22.79209,35.58014
Mozambique,Pemba,Ponta_Maunhane,,-12.95896667,40.55993333
Mozambique,Inhaca_Island,Ponta_Torres,,-26.07360176,32.9527
